,Na,Rm,Rm_mean,Rm_sd,ln_Na,ln_Rm,ln_Rm_mean,ln_Rm_SD,grad_Ln_n/r,grad_Ln_n/r_mean
0,10,3.16228,3.358624666666668,0.7150635177508384,2.302585092994046,1.1512932864164753,1.1896030470871515,0.20882358120895358,0.0,0.0
1,100,15.6525,14.163644166666655,1.7027718451492497,4.605170185988092,2.7506306486373284,2.643674029712245,0.11768307721068658,1.5871200451037413,1.6056794813979303
2,200,20.8806,21.370676666666668,2.505533039818545,5.298317366548036,3.0388204982337617,3.0553130522656806,0.11521619156910232,1.7662891736237343,1.7126578036357556
3,300,29.1548,26.84902916666666,2.7195913806243306,5.703782474656201,3.372619564763778,3.285140343844522,0.10076782417093728,1.7448991586751674,1.7601751636533443
4,400,31.0644,31.6187925,3.1040169220480047,5.991464547107982,3.4360624689882346,3.4491074852704497,0.09557367636437496,1.92536319380301,1.7533435392386785
5,500,38.0132,35.89659333333332,3.3230372416093164,6.214608098422191,3.6379334678289963,3.576484060768244,0.09057615756357267,1.2950198733075178,1.7133367482688373
6,600,42.4853,40.04389833333334,3.710717573596353,6.396929655216146,3.7491581337463322,3.6857598004197327,0.09147028789639876,1.845008784477286,1.7102698472107807
7,700,45.618,43.72722333333333,4.3229883075394016,6.551080335043404,3.8203023754743546,3.773220404550457,0.09685168179999114,1.6520435407665373,1.7275058757833865
8,800,50.5668,47.33177250000001,4.7437520320586515,6.684611727667927,3.9232952344660252,3.852290100828305,0.09834182989737124,1.4704908981621525,1.707768512129291
9,900,54.1202,50.64796416666664,4.9007527603728755,6.802394763324311,3.9912074987872592,3.9203799443217817,0.09431186119759224,1.7988656274628312,1.7507711267575068
10,1000,57.2451,53.724891666666714,4.951713280144431,6.907755278982137,4.047342049251706,3.979744539563241,0.09036940239731113,2.124598453041553,1.758963195421516
11,1100,59.4811,56.73478583333333,5.0782842269854,7.003065458786462,4.085658615032248,4.034464591450548,0.08819428676099225,1.6563493969974479,1.718909216503634
12,1200,63.9062,59.72028666666667,5.308438920827497,7.090076835776092,4.157416383280782,4.085812710612325,0.08741458751992394,1.7878102379897938,1.7390805854339302
13,1300,65.307,62.42083666666668,5.17507870407021,7.170119543449628,4.179099228086909,4.130523443502814,0.08186791050887766,4.349340470491563,1.7881184780238804
14,1400,66.2118,65.06970416666668,5.452820311703814,7.24422751560335,4.192858694792862,4.172021024950431,0.08254691259686803,2.748873031093965,1.7518875186045955
15,1500,68.7968,67.7424475,5.7787105031165735,7.313220387090301,4.231157232229692,4.212207251464786,0.08304131737574126,1.3668345986740353,1.7735688679333192
16,1600,73.0068,70.1436716666667,5.728386898524943,7.3777589082278725,4.290552587495067,4.247310682453341,0.07991086170570379,1.1102657184074374,1.6870470635172912
17,1700,77.0065,72.93593000000001,5.878605615727894,7.438383530044307,4.343889833875305,4.286397916124168,0.07946691779722188,1.4196852215193376,1.7163804417365114
18,1800,79.3221,75.12314416666668,6.063203720666094,7.495541943884256,4.373516778338959,4.315933601237721,0.07963162235660394,2.5569904858472703,1.8360461774530512
19,1900,80.4301,77.48650666666666,6.175188481735324,7.549609165154532,4.387388484232375,4.346976803777482,0.0788456479161137,2.554613836017035,1.663636956895194
20,2000,82.662,80.02853916666668,6.375079676969845,7.600902459542082,4.414760004290517,4.379265036152739,0.07868997029419776,1.1629638632459336,1.7405239592327975
21,2100,87.6584,82.07136416666668,6.536894329531355,7.649692623711514,4.473447442485506,4.404478717512181,0.07855015819709575,1.3406673870732164,1.8333636815057408
22,2200,88.7525,84.29348166666665,6.641495081179538,7.696212639346407,4.4858515969728705,4.431251546393875,0.07787304307059223,4.062059435559891,1.7412822336535276
23,2300,89.6437,86.4526733333334,6.615108654936319,7.7406644019172415,4.495842924296862,4.456722849133999,0.07552449148040136,1.8775308709572576,1.7252612449714588
24,2400,92.9624,88.63279833333334,6.704121107646945,7.783224016336037,4.532195110326271,4.481685286352526,0.074807787458685,1.3121865136395148,1.737400356900739
25,2500,95.5249,90.68775999999998,6.727035487412114,7.824046010856292,4.559386946486041,4.50471501663176,0.07332972524943136,2.4562500056272216,1.7186023159202657
