Na,Rm
10,3.16228
100,15.6525
200,20.8806
300,29.1548
400,31.0644
500,38.0132
600,42.4853
700,45.618
800,50.5668
900,54.1202
1000,57.2451
1100,59.4811
1200,63.9062
1300,65.307
1400,66.2118
1500,68.7968
1600,73.0068
1700,77.0065
1800,79.3221
1900,80.4301
2000,82.662
2100,87.6584
2200,88.7525
2300,89.6437
2400,92.9624
2500,95.5249
2600,96.0417
2700,96.566
2800,98.1835
2900,99.4786
3000,100.404
3100,101.789
3200,102.626
3300,104.062
3400,104.89
3500,107.782
3600,109.124
3700,111.288
3800,113.952
3900,115.313
4000,116.778
4100,117.456
4200,120.416
4300,123.329
4400,124.085
4500,127.016
4600,129.958
4700,131.503
4800,135.248
4900,136.033
5000,137.906
10,3.60555
100,13.3417
200,20.2485
300,25.2982
400,28.3019
500,35.5106
600,43.4166
700,48.6004
800,51.7397
900,54.8179
1000,56.6392
1100,60.1415
1200,64.3506
1300,65.8559
1400,68.7677
1500,70.3847
1600,72.2357
1700,73.6003
1800,76.1577
1900,77.666
2000,83.2166
2100,86.8217
2200,89.0449
2300,90.9725
2400,91.586
2500,94.6678
2600,95.5249
2700,96.7471
2800,99.1262
2900,100.499
3000,102.474
3100,102.956
3200,103.832
3300,104.623
3400,107.075
3500,108.724
3600,111.826
3700,115.884
3800,120.42
3900,123.693
4000,124.471
4100,125.495
4200,127.016
4300,129.727
4400,132.654
4500,133.959
4600,134.618
4700,137.186
4800,137.186
4900,137.902
5000,139.316
10,4.24264
100,16.9706
200,22.0227
300,27.0185
400,30.8058
500,34.4093
600,36.8917
700,39.8246
800,44.9444
900,47.8853
1000,54.5894
1100,56.8243
1200,62.6498
1300,64.4981
1400,67.2309
1500,71.5891
1600,72.0069
1700,74.686
1800,76.4853
1900,79.6304
2000,80.8022
2100,83.6002
2200,85.2115
2300,86.6083
2400,87.6584
2500,89.8888
2600,92.9624
2700,94.6678
2800,96.3846
2900,97.2471
3000,97.2471
3100,99.8499
3200,100.846
3300,102.728
3400,104.446
3500,105.309
3600,107.49
3700,108.245
3800,108.904
3900,110.463
4000,112.712
4100,114.49
4200,117.184
4300,118.596
4400,118.596
4500,119.419
4600,120.354
4700,121.314
4800,121.803
4900,122.299
5000,122.801
10,3
100,14.7648
200,25.632
300,30.6757
400,35.3412
500,38.4838
600,41.2311
700,47.0744
800,48.6621
900,51.0784
1000,55.1543
1100,56.0803
1200,57.9396
1300,61.0983
1400,63.561
1500,65.9242
1600,69.4622
1700,70.7743
1800,72.6154
1900,75.2728
2000,78.1857
2100,81.9329
2200,84.1546
2300,87.9204
2400,89.1964
2500,92.6984
2600,96.1353
2700,97.0824
2800,100.881
2900,101.843
3000,104.995
3100,106.607
3200,108.812
3300,113.225
3400,115.434
3500,118.271
3600,123.665
3700,126.531
3800,127.487
3900,129.402
4000,131.32
4100,134.48
4200,135.44
4300,135.44
4400,140.246
4500,141.481
4600,145.331
4700,145.602
4800,147.122
4900,148.081
5000,150.685
10,3
100,10.198
200,19.3132
300,25.2389
400,28.4253
500,35.3836
600,37.0135
700,41.0366
800,43.8292
900,47.1699
1000,48.2597
1100,51.4004
1200,52.8015
1300,56.3649
1400,60.3738
1500,62.3939
1600,66.7083
1700,68.9638
1800,70.3278
1900,73.8241
2000,75.8024
2100,76.6616
2200,79.404
2300,82.1523
2400,82.3772
2500,83.006
2600,84.0536
2700,84.6286
2800,87.4643
2900,89.0225
3000,89.8109
3100,90.802
3200,91.6079
3300,93.0054
3400,95.1315
3500,99.0051
3600,102.005
3700,103.078
3800,104.043
3900,105.019
4000,106.019
4100,108.019
4200,111.005
4300,111.005
4400,113
4500,113.071
4600,114.07
4700,116.108
4800,117.154
4900,121.066
5000,122.147
10,3
100,12.6491
200,20.3961
300,25.02
400,30.1496
500,37.0135
600,42.0476
700,43.0465
800,48.0104
900,51.0098
1000,54.037
1100,56.1427
1200,60.1332
1300,61.4003
1400,67.6018
1500,68.884
1600,71.0211
1700,73.9797
1800,75.9539
1900,78.9177
2000,79.9062
2100,81.0494
2200,83.7437
2300,85.5102
2400,86.6833
2500,86.6833
2600,87.8635
2700,88.8426
2800,91.1373
2900,95.0211
3000,95.0474
3100,96.0208
3200,98.0051
3300,99
3400,102
3500,103
3600,106.019
3700,107.07
3800,110.788
3900,111.647
4000,113.877
4100,116.108
4200,119.365
4300,119.817
4400,122.037
4500,122.874
4600,123.146
4700,124.535
4800,125.67
4900,125.925
5000,126.827
10,2.82843
100,12.2066
200,21.2132
300,26.0768
400,29.0689
500,34.0147
600,40
700,44
800,48.0416
900,53.3385
1000,55.4437
1100,59.5399
1200,64.195
1300,67.3647
1400,71.4493
1500,72.4431
1600,75.4255
1700,76.4199
1800,81.3941
1900,82.2192
2000,84.214
2100,89.0898
2200,91.0879
2300,96.1301
2400,97.2522
2500,97.2522
2600,98.0204
2700,99.0454
2800,101.045
2900,101.045
3000,102.078
3100,103.044
3200,105.043
3300,108.042
3400,108.042
3500,112.04
3600,114.039
3700,119.004
3800,119.038
3900,122.066
4000,124.036
4100,127.016
4200,131.015
4300,134.06
4400,137.058
4500,139.058
4600,140.175
4700,143.087
4800,144.056
4900,146.031
5000,150.03
10,3.16228
100,15.6205
200,19.8494
300,22.3607
400,26.2488
500,32.0156
600,35.171
700,40.4475
800,41.4367
900,45.2548
1000,47.4236
1100,51.4004
1200,52.8015
1300,55.4437
1400,59.9083
1500,64.8151
1600,66.2193
1700,68.6804
1800,70.8378
1900,73
2000,76
2100,77.1557
2200,79.2465
2300,81.0247
2400,86.1452
2500,87.0919
2600,88.0909
2700,91.1976
2800,94.1913
2900,96.1873
3000,98.2497
